#000000,#0F2940,dark
#191919,#0F2940,dark
#262626,#0F2940,dark
#292929,#0F2940,dark
#313131,#0F2940,dark
#333333,#0F2940,dark
#393939,#0F2940,dark
#404040,#0F2940,dark
#444444,#0F2940,dark
#464951,#0F2940,dark
#000,#0F2940,dark
#111,#0F2940,dark
#223,#0F2940,dark
#333,#0F2940,dark
#444,#0F2940,dark
#2275BB,#636EB2,dark_blue
#4285FF,#636EB2,dark_blue
#75A5FF,#636EB2,dark_blue
#191,#A6D175,green
#CFC,#A6D175,green
#D60000,#FF5F5F,primary_red
#FF6400,#FF5F5F,primary_red
#FCC,#FF5F5F,primary_red
#777,#30475C,slate
#888,#30475C,slate
#999,#30475C,slate
#BBB,#30475C,slate
#BBBBBB,#30475C,slate
#4C4C4C,#30475C,slate
#4D4D4D,#30475C,slate
#4D5765,#30475C,slate
#4F535D,#30475C,slate
#555555,#30475C,slate
#636A76,#30475C,slate
#6A747C,#30475C,slate
#717171,#30475C,slate
#767493,#30475C,slate
#805852,#30475C,slate
#808080,#DEEBF0,light_slate
#939D98,#30475C,slate
#959595,#30475C,slate
#99A2AB,#30475C,slate
#9AC4E4,#0F2940,dark
#A1B8D6,#ADC4D1,subdued_blue
#ACB8C5,#ADC4D1,subdued_blue
#AEAEAE,#ADC4D1,subdued_blue
#AEB3B8,#ADC4D1,subdued_blue
#B2B2B2,#ADC4D1,subdued_blue
#B3B3B3,#ADC4D1,subdued_blue
#BABABA,#ADC4D1,subdued_blue
#BFBFBF,#ADC4D1,subdued_blue
#C0C0C0,#ADC4D1,subdued_blue
#C3CED9,#ADC4D1,subdued_blue
#CCCCCC,#ADC4D1,subdued_blue
#CDDFF1,#ADC4D1,subdued_blue
#D0DBE6,#ADC4D1,subdued_blue
#E1EAF3,#ADC4D1,subdued_blue
#FCFCFC,#FFFFFF,white
#FFFFFF,#FFFFFF,white
#FFF,#FFFFFF,white
#E2E2E2,#F2F7F7,whitish
#E5E5E5,#F2F7F7,whitish
#E6E6E6,#F2F7F7,whitish
#E9E9E9,#F2F7F7,whitish
#ECEDF5,#F2F7F7,whitish
#EFEFEF,#F2F7F7,whitish
#F0F0F0,#F2F7F7,whitish
#F0F6FC,#F2F7F7,whitish
#F1F1F1,#F2F7F7,whitish
#F2F2F2,#F2F7F7,whitish
#F5F5F5,#F2F7F7,whitish
#F7F8FC,#F2F7F7,whitish
#F8F8F8,#F2F7F7,whitish
#F9F9F9,#FFFFFF,whitish
#DDD,#FFFFFF,white
#DDE,#FFFFFF,white
#EEE,#FFFFFF,white
#EEF,#FFFFFF,white
#937F38,#F2DE7D,yellow
#D8FA3C,#F2DE7D,yellow
#EDCF8E,#F2DE7D,yellow
#FBDE2D,#F2DE7D,yellow
#FFE075,#F2DE7D,yellow
#FFEEC9,#F2DE7D,yellow
#FFF3C5,#F2DE7D,yellow
